label,text,product_id,product_name
1,"ایرفون کوچیک متناسب با ارگونومی گوش پد های گوششم میتونید متناسب با سایز گوشتون عوض کنید تا صداهای مزاحم خارجی به کمترین حد خودشون برسن, صدای کار شده تمیز با بیس عمیق که لذت موسیقی خالص رو بهتون میده. با توجه به مبلغی که هزینه میکنید, محصول خوبی میگیرید.",7463108,هدفون بلوتوثی مدل P4͏9
1,"کیفیت عالی پخش. بعد از ده روز استفاده; مشخصات کالا درست بود, بیس سه بعدی , سرعت شارژ , زمان نگهداری شارژ و ظرافت و زیبایی ,, بسته بندی و زمان رسید کالا هم دقیق بود",7463108,هدفون بلوتوثی مدل P4͏9
1,کیفیت صدای خوبی داره باکس شارژش هم خیلی کاربردیه هم گوشی های هنزفری رو شارژ میکنه و هم میشه در مواقع اظطراری گوشی موبایلتون رو باهاش شارژ کنید بنظرم تخفیفی که گذاشتن رو از دست ندید,7463108,هدفون بلوتوثی مدل P4͏9
2,جنس بدنه ضعیف یک کالا با دو قیمت متفاوت با همین فروشنده قرار داشت کیفت صدا خوبه ولی برای مکالمه صدا خوب شنیده میشه ولی صدای خودم با هدفون اصلا واضح نبود ولی خیلی زود به دستم رسید و سالم بود,7463108,هدفون بلوتوثی مدل P4͏9
1,ظاهر جذاب و زیبا در عین حال ساده کیفیت صدا واقعا خوبه بیس خوبی داره باخیال راحت خرید کنید,7463108,هدفون بلوتوثی مدل P4͏9
1,"از خرید و نوع کالای انتخابی خیلی راضیم. با توجه به کیفیت خوب و قیمت متناسب با کالا و همچنین شکل ظاهری و زیبا توصیه میکنم بخرید, پشیمون نمیشید.",7463108,هدفون بلوتوثی مدل P4͏9
1,خیلی ازش راضیم کیفیت صدا هم تو حالت گیمینگ خوبه هم حالت معمولی تاخیر صدا نداره داخل گوش خیلی خوب کیپ میشه و نمیوفته میکروفون خوبی هم داره پیشنهاد میکنم بگیرید حتماً,7256385,هدفون بلوتوثی مدل HW͏80
0,با عرض سلام و خسته نباشید خدمت تیم محترم دیجی کالا اگه بخوام نظرمو در مورد کالا بدم اینه که برد بیسیمش که قید شده 18متر اشتباه پنچ متر بیشتر نیست و بعضی وقتها هم نویز میگیره.,7256385,هدفون بلوتوثی مدل HW͏80
1,مدت زمان شارژدهی خیلی خوبی داره به نسبت قیمت. از لحاظ کیفیت صدا و راحتی استفاده هم خیلی خوبه. تو مدت زمان قابل قبولی شارژ میشه. کلا یه کار شیک و با کیفیت هست.,7256385,هدفون بلوتوثی مدل HW͏80
1,بهترین هندزفری بلوتوثی در این رنج قیمتی. کیفیتش عالی بود خیلی جذاب بود و جنس عالی داشت وخیلی راحت توی گوش میرفت و کامل کیپ می شد. میزان صداش هم می تونه در حدی زیاد کنی که حتی بدون این که توی گوشت بزاری بشنوی من که کامل ازش راضی بودم.,7256385,هدفون بلوتوثی مدل HW͏80
